,Player,Span_ODI_bowl,Mat_ODI_bowl,Inns_ODI_bowl,Balls_del_ODI,Runs_given_ODI,Wkts_ODI,Ave_ODI_bowl,Econ_ODI,SR_ODI_bowl,4_W_ODI,5_W_ODI,Start_year_ODI_bowl,End_year_ODI_bowl,best_wkts_ODI,best_runs_given_ODI
1216,Ehsanul Haque (BDESH),1,6,3,141,113,3,37.66,4.8,47.0,0,0,2002,2003,2,34
1217,Fawad Ahmed (AUS),0,3,3,144,145,3,48.33,6.04,48.0,0,0,2013,2013,1,39
1218,Fayyaz Butt (OMAN),0,5,5,198,165,3,55.0,5.0,66.0,0,0,2019,2019,2,28
1219,IS Gallage (SL),2,3,3,144,115,3,38.33,4.79,48.0,0,0,1999,2001,2,42
1220,JC Gamage (SL),0,4,4,132,104,3,34.66,4.72,44.0,0,0,1995,1995,2,17
1221,B Geeves (AUS),1,2,2,90,78,3,26.0,5.2,30.0,0,0,2008,2009,2,11
1222,RS Ghai (INDIA),2,6,6,275,260,3,86.66,5.67,91.6,0,0,1984,1986,1,38
1223,AP Grayson (ENG),1,2,2,90,60,3,20.0,4.0,30.0,0,0,2000,2001,3,40
1224,Haafiz Shahid (PAK),0,3,3,127,112,3,37.33,5.29,42.3,0,0,1988,1988,2,56
1225,GM Hamilton (SCOT),11,38,6,220,160,3,53.33,4.36,73.3,0,0,1999,2010,2,36
1226,PL Harris (SA),0,3,3,180,83,3,27.66,2.76,60.0,0,0,2008,2008,2,30
1227,Hasti Gul (AFG),0,2,2,114,73,3,24.33,3.84,38.0,0,0,2009,2009,2,48
1228,KC Hodsoll (BMUDA),1,3,3,102,100,3,33.33,5.88,34.0,0,0,2007,2008,2,48
1229,CK Hooper (CAN),3,5,5,169,181,3,60.33,6.42,56.3,0,0,2007,2010,1,17
1230,GP Howarth (NZ),10,70,7,90,68,3,22.66,4.53,30.0,0,0,1975,1985,1,4
1231,Inzamam-ul-Haq (Asia/PAK),16,378,6,58,64,3,21.33,6.62,19.3,0,0,1991,2007,1,0
1232,Iqbal Sikander (PAK),0,4,4,210,147,3,49.0,4.2,70.0,0,0,1992,1992,1,30
1233,SD Jack (SA),1,2,2,108,86,3,28.66,4.77,36.0,0,0,1994,1995,2,41
1234,GSNFG Jayasuriya (SL),4,12,11,312,277,3,92.33,5.32,104.0,0,0,2015,2019,1,15
1235,DM Jones (AUS),10,164,8,106,81,3,27.0,4.58,35.3,0,0,1984,1994,2,34
1236,Junaid Zia (PAK),0,4,4,145,127,3,42.33,5.25,48.3,0,0,2003,2003,3,21
1237,AI Kallicharran (WI),8,31,4,105,64,3,21.33,3.65,35.0,0,0,1973,1981,2,10
1238,Kamran Hussain (PAK),0,2,2,102,67,3,22.33,3.94,34.0,0,0,2008,2008,2,32
1239,Khalid Khan (HKG),0,2,2,108,93,3,31.0,5.16,36.0,0,0,2004,2004,2,62
1240,BL Kotze (NAM),0,5,5,258,276,3,92.0,6.41,86.0,0,0,2003,2003,2,51
1241,BP Kruger (NL),1,5,5,184,131,3,43.66,4.27,61.3,0,0,2010,2011,3,21
1242,DSK Madushanka (SL),0,1,1,37,26,3,8.66,4.21,12.3,0,0,2018,2018,3,26
1243,AK Markram (SA),2,26,6,120,132,3,44.0,6.6,40.0,0,0,2017,2019,2,18
1244,RAL Massie (AUS),0,3,3,183,129,3,43.0,4.22,61.0,0,0,1972,1972,2,35
1245,Mehmood Quaraishy (EAf),0,3,2,108,94,3,31.33,5.22,36.0,0,0,1975,1975,2,55
1246,JM Mennie (AUS),0,2,2,120,131,3,43.66,6.55,40.0,0,0,2016,2016,3,49
1247,PL Mhambrey (INDIA),2,3,3,126,120,3,40.0,5.71,42.0,0,0,1996,1998,2,69
1248,A Mithun (INDIA),1,5,5,180,203,3,67.66,6.76,60.0,0,0,2010,2011,2,32
1249,Mohammad Nazir (PAK),4,4,4,222,156,3,52.0,4.21,74.0,0,0,1980,1984,2,37
1250,GMC Mol (NL),1,6,6,162,111,3,37.0,4.11,54.0,0,0,2007,2008,2,23
1251,N M'shangwe (ZIM),3,6,6,336,260,3,86.66,4.64,112.0,0,0,2011,2014,2,50
1252,Najeeb Amar (HKG),4,4,4,240,172,3,57.33,4.3,80.0,0,0,2004,2008,2,40
1253,Nasir Aziz (UAE),1,5,5,264,257,3,85.66,5.84,88.0,0,0,2014,2015,1,50
1254,N Ncube (ZIM),0,1,1,53,69,3,23.0,7.81,17.6,0,0,2011,2011,3,69
1255,RG Nijman (NL),0,1,1,49,31,3,10.33,3.79,16.3,0,0,2009,2009,3,31
1256,D Olivier (SA),0,2,2,114,124,3,41.33,6.52,38.0,0,0,2019,2019,2,73
1257,A Patel (CAN),0,2,2,60,73,3,24.33,7.3,20.0,0,0,2003,2003,3,41
1258,Pervez Mir (PAK),2,3,3,122,77,3,25.66,3.78,40.6,0,0,1975,1977,1,17
1259,RT Ponting (AUS/ICC),17,375,5,150,104,3,34.66,4.16,50.0,0,0,1995,2012,1,12
1260,GD Porter (AUS),0,2,2,108,33,3,11.0,1.83,36.0,0,0,1979,1979,2,13
1261,R Powell (WI),2,34,13,245,243,3,81.0,5.95,81.6,0,0,2016,2018,1,7
1262,D Ramnarine (WI),4,4,4,200,164,3,54.66,4.92,66.6,0,0,1997,2001,2,52
1263,SK Ranasinghe (SL),0,4,4,126,96,3,32.0,4.57,42.0,0,0,1986,1986,1,28
1264,AT Rayudu (INDIA),6,55,9,121,124,3,41.33,6.14,40.3,0,0,2013,2019,1,5
1265,Sabbir Rahman (BDESH),5,66,21,306,345,3,115.0,6.76,102.0,0,0,2014,2019,1,12
1266,Saleem Raza (UAE),2,6,6,192,179,3,59.66,5.59,64.0,0,0,1994,1996,1,17
1267,GS Sandhu (AUS),0,2,2,120,107,3,35.66,5.35,40.0,0,0,2015,2015,2,49
1268,Sarandeep Singh (INDIA),1,5,5,258,180,3,60.0,4.18,86.0,0,0,2002,2003,2,34
1269,KF Semple (WI),0,7,4,132,121,3,40.33,5.5,44.0,0,0,1999,1999,2,35
1270,Shahid Saeed (PAK),4,10,7,222,159,3,53.0,4.29,74.0,0,0,1989,1993,2,20
1271,R Shepherd (WI),0,3,3,110,101,3,33.66,5.5,36.6,0,0,2019,2019,2,32
1272,L Siaka (PNG),5,25,11,204,146,3,48.66,4.29,68.0,0,0,2014,2019,2,33
1273,V Sibanda (Afr/ZIM),13,127,11,267,265,3,88.33,5.95,89.0,0,0,2003,2016,1,12
1274,D Soraine (CAN),6,4,3,113,94,3,31.33,4.99,37.6,0,0,2006,2012,2,57
1275,KR Stackpole (AUS),3,6,2,77,54,3,18.0,4.2,25.6,0,0,1971,1974,3,40
1276,LW Stott (NZ),0,1,1,72,48,3,16.0,4.0,24.0,0,0,1979,1979,3,48
1277,GP Sulzberger (NZ),0,3,3,132,102,3,34.0,4.63,44.0,0,0,2000,2000,1,28
1278,MR Swart (NL),3,12,11,366,306,3,102.0,5.01,122.0,0,0,2011,2014,1,21
1279,AR Tait (NZ),1,5,5,120,88,3,29.33,4.4,40.0,0,0,1998,1999,2,37
1280,HDRL Thirimanne (SL),9,127,4,104,94,3,31.33,5.42,34.6,0,0,2010,2019,2,36
1281,JG Thomas (ENG),1,3,3,156,144,3,48.0,5.53,52.0,0,0,1986,1987,2,59
1282,FJ Titmus (ENG),0,2,1,56,53,3,17.66,5.67,18.6,0,0,1975,1975,3,53
1283,MS Tshabalala (SA),0,4,4,150,151,3,50.33,6.04,50.0,0,0,2007,2007,1,30
1284,S Tyagi (INDIA),1,4,4,165,144,3,48.0,5.23,55.0,0,0,2009,2010,1,15
1285,JN Valentine (CAN),0,3,3,114,66,3,22.0,3.47,38.0,0,0,1979,1979,1,18
1286,Wajahatullah Wasti (PAK),1,15,3,55,69,3,23.0,7.52,18.3,0,0,1999,2000,3,36
1287,LJ Woodcock (NZ),0,4,4,164,155,3,51.66,5.67,54.6,0,0,2011,2011,2,58
1288,HN Ya France (NAM),0,4,4,138,96,3,32.0,4.17,46.0,0,0,2019,2019,2,31
1289,GN Yallop (AUS),6,30,4,138,119,3,39.66,5.17,46.0,0,0,1978,1984,2,28
1290,Younis Khan (PAK),15,265,20,284,288,3,96.0,6.08,94.6,0,0,2000,2015,1,3
1291,Zafar Iqbal (PAK),0,8,7,198,137,3,45.66,4.15,66.0,0,0,1995,1995,2,37
1292,Zahid Ahmed (PAK),0,2,2,96,61,3,20.33,3.81,32.0,0,0,1987,1987,2,24
1293,Aamer Yamin (PAK),3,4,4,156,154,2,77.0,5.92,78.0,0,0,2015,2018,1,38
1294,Aamir Kaleem (OMAN),0,2,2,77,54,2,27.0,4.2,38.5,0,0,2019,2019,2,30
1295,Abdullah Mazari (AFG),0,2,2,96,49,2,24.5,3.06,48.0,0,0,2010,2010,1,18
1296,Ahmed Shehzad (PAK),8,81,9,115,140,2,70.0,7.3,57.5,0,0,2009,2017,1,22
1297,Ali Asad (UAE),0,2,2,120,73,2,36.5,3.65,60.0,0,0,2004,2004,2,35
1298,DI Allan (KENYA),2,5,4,112,80,2,40.0,4.28,56.0,0,0,2011,2013,1,22
1299,GJAF Aponso (NL),0,5,5,242,257,2,128.5,6.37,121.0,0,0,1996,1996,1,57
1300,Asad Ali (PAK),0,4,4,180,115,2,57.5,3.83,90.0,0,0,2013,2013,1,22
1301,SV Bahutule (INDIA),6,8,7,294,283,2,141.5,5.77,147.0,0,0,1997,2003,1,31
1302,A Balbirnie (IRE),9,64,3,60,68,2,34.0,6.8,30.0,0,0,2010,2019,1,26
1303,MRCN Bandaratilleke (SL),0,3,3,144,111,2,55.5,4.62,72.0,0,0,1998,1998,2,34
1304,MD Bates (NZ),0,2,2,84,52,2,26.0,3.71,42.0,0,0,2012,2012,1,24
1305,S Bau (PNG),3,21,6,180,124,2,62.0,4.13,90.0,0,0,2016,2019,2,35
1306,LS Bhandari (NEPAL),0,1,1,54,43,2,21.5,4.77,27.0,0,0,2018,2018,2,43
1307,DR Briggs (ENG),0,1,1,60,39,2,19.5,3.9,30.0,0,0,2012,2012,2,39
1308,JE Brinkley (SCOT),0,5,3,168,117,2,58.5,4.17,84.0,0,0,1999,1999,1,29
1309,BS Browne (WI),0,4,4,180,156,2,78.0,5.2,90.0,0,0,1994,1994,2,50
1310,PH Carlson (AUS),0,4,3,168,70,2,35.0,2.5,84.0,0,0,1979,1979,1,21
1311,DL Chahar (INDIA),1,3,3,126,129,2,64.5,6.14,63.0,0,0,2018,2019,1,37
1312,IM Chappell (AUS),9,16,2,42,23,2,11.5,3.28,21.0,0,0,1971,1980,2,14
1313,GA Cope (ENG),1,2,2,112,35,2,17.5,1.87,56.0,0,0,1977,1978,1,16
1314,CS Cowdrey (ENG),0,3,2,52,55,2,27.5,6.34,26.0,0,0,1985,1985,1,3
1315,DJ Cullen (AUS),0,5,5,213,147,2,73.5,4.14,106.5,0,0,2006,2006,2,25
1316,SM Curran (ENG),0,2,2,72,90,2,45.0,7.5,36.0,0,0,2018,2018,2,44
1317,DDP D'Silva (UAE),0,3,2,102,71,2,35.5,4.17,51.0,0,0,2019,2019,2,20
1318,D Daesrath (CAN),1,4,2,72,48,2,24.0,4.0,36.0,0,0,2012,2013,1,13
1319,RR David (CAN),2,4,4,96,74,2,37.0,4.62,48.0,0,0,2008,2010,2,30
1320,DLS de Silva (SL),0,2,2,120,54,2,27.0,2.7,60.0,0,0,1979,1979,2,36
1321,BR Dorey (AUS),0,4,4,162,146,2,73.0,5.4,81.0,0,0,2006,2006,1,12
1322,F du Plessis (SA),8,143,11,192,189,2,94.5,5.9,96.0,0,0,2011,2019,1,8
1323,CE Eksteen (SA),3,6,6,222,181,2,90.5,4.89,111.0,0,0,1991,1994,1,26
1324,D Elgar (SA),6,8,4,96,67,2,33.5,4.18,48.0,0,0,2012,2018,1,11
1325,KADM Fernando (SL),0,1,1,42,13,2,6.5,1.85,21.0,0,0,2003,2003,2,13
1326,MLC Foster (WI),0,2,1,30,22,2,11.0,4.4,15.0,0,0,1973,1973,2,22
1327,RC Fredericks (WI),4,12,1,10,10,2,5.0,6.0,5.0,0,0,1973,1977,2,10
1328,D Gamage (SL),0,3,3,95,83,2,41.5,5.24,47.5,0,0,2003,2003,1,26
1329,WCA Ganegama (SL),5,4,3,66,88,2,44.0,8.0,33.0,0,0,2001,2006,2,27
1330,Gazi Ashraf (BDESH),4,7,3,51,33,2,16.5,3.88,25.5,0,0,1986,1990,1,7
1331,LR Gibbs (WI),2,3,3,156,59,2,29.5,2.26,78.0,0,0,1973,1975,1,12
1332,Golam Faruq (BDESH),4,5,5,186,116,2,58.0,3.74,93.0,0,0,1986,1990,1,22
1333,MS Gony (INDIA),0,2,2,78,76,2,38.0,5.84,39.0,0,0,2008,2008,2,65
1334,TR Gripper (ZIM),2,8,6,120,76,2,38.0,3.8,60.0,0,0,2001,2003,2,28
1335,TGJ Gruijters (NL),3,5,4,120,79,2,39.5,3.95,60.0,0,0,2010,2013,2,37
1336,Hammad Azam (PAK),4,11,8,198,169,2,84.5,5.12,99.0,0,0,2011,2015,1,21
1337,SM Harwood (AUS),0,1,1,60,57,2,28.5,5.7,30.0,0,0,2009,2009,2,57
1338,R Hekure (PNG),0,1,1,60,32,2,16.0,3.2,30.0,0,0,2019,2019,2,32
1339,CC Henry (CAN),0,2,2,90,53,2,26.5,3.53,45.0,0,0,1979,1979,2,27
1340,O Henry (SA),0,3,3,149,125,2,62.5,5.03,74.5,0,0,1992,1992,1,31
1341,H Hiri (PNG),3,7,4,60,56,2,28.0,5.6,30.0,0,0,2016,2019,1,6
1342,RG Holland (AUS),0,2,2,126,99,2,49.5,4.71,63.0,0,0,1985,1985,2,49
1343,MEK Hussey (AUS),8,185,13,240,235,2,117.5,5.87,120.0,0,0,2004,2012,1,22
1344,AP Igglesden (ENG),0,4,4,168,122,2,61.0,4.35,84.0,0,0,1994,1994,2,12
1345,Irfan Bhatti (PAK),0,1,1,48,22,2,11.0,2.75,24.0,0,0,1993,1993,2,22
1346,Jahangir Shah (BDESH),4,5,5,234,172,2,86.0,4.41,117.0,0,0,1986,1990,2,23
1347,K Jethi (CAN),0,3,3,102,85,2,42.5,5.0,51.0,0,0,2008,2008,2,39
1348,LWS Kaluperuma (SL),7,4,4,208,137,2,68.5,3.95,104.0,0,0,1975,1982,1,35
1349,SHT Kandamby (SL),10,39,9,174,173,2,86.5,5.96,87.0,0,0,2004,2014,2,37
1350,CK Kapugedera (SL),11,102,10,264,225,2,112.5,5.11,132.0,0,0,2006,2017,1,24
1351,VJ Kingma (NL),5,3,3,126,107,2,53.5,5.09,63.0,0,0,2014,2019,1,47
1352,DB Kotze (NAM),0,6,6,282,256,2,128.0,5.44,141.0,0,0,2003,2003,1,32
1353,GJP Kruger (SA),0,3,3,138,139,2,69.5,6.04,69.0,0,0,2006,2006,1,43
1354,NR Kumar (CAN),4,16,2,66,63,2,31.5,5.72,33.0,0,0,2010,2014,2,40
1355,AV Lalcheta (OMAN),0,2,2,84,62,2,31.0,4.42,42.0,0,0,2019,2019,2,35
1356,Liaqat Ali (PAK),1,3,3,188,111,2,55.5,3.54,94.0,0,0,1977,1978,1,41
1357,J Louw (SA),0,3,3,156,148,2,74.0,5.69,78.0,0,0,2008,2008,1,45
1358,GD McKenzie (AUS),0,1,1,60,22,2,11.0,2.2,30.0,0,0,1971,1971,2,22
1359,Mansoor Akhtar (PAK),10,41,9,138,110,2,55.0,4.78,69.0,0,0,1980,1990,1,7
1360,GC Martin (ZIM),1,5,4,132,95,2,47.5,4.31,66.0,0,0,1994,1995,1,15
1361,SC Meaker (ENG),0,2,2,114,110,2,55.0,5.78,57.0,0,0,2011,2011,1,45
1362,KP Meiyappan (UAE),0,2,2,108,78,2,39.0,4.33,54.0,0,0,2019,2019,2,39
1363,Mohammed Qasim (UAE),0,5,3,120,71,2,35.5,3.55,60.0,0,0,2017,2017,1,13
1364,Morshed Ali Khan (BDESH),0,3,3,138,85,2,42.5,3.69,69.0,0,0,1998,1998,1,26
1365,PV Mpitsang (SA),0,2,2,60,63,2,31.5,6.3,30.0,0,0,1999,1999,2,49
1366,J Mubarak (SL),11,40,8,129,95,2,47.5,4.41,64.5,0,0,2002,2013,1,10
1367,SP Mukherjee (INDIA),1,3,3,174,98,2,49.0,3.37,87.0,0,0,1990,1991,1,30
1368,MG Neser (AUS),0,2,2,100,120,2,60.0,7.2,50.0,0,0,2018,2018,2,46
1369,IA Nicolson (ZIM),0,2,2,72,118,2,59.0,9.83,36.0,0,0,2010,2010,1,44
1370,KJ O'Keeffe (AUS),0,2,2,132,79,2,39.5,3.59,66.0,0,0,1977,1977,1,36
1371,DR O'Sullivan (NZ),2,3,3,168,123,2,61.5,4.39,84.0,0,0,1974,1976,1,38
1372,Parvez Rasool (INDIA),0,1,1,60,60,2,30.0,6.0,30.0,0,0,2014,2014,2,60
1373,RR Patel (KENYA),6,39,7,168,135,2,67.5,4.82,84.0,0,0,2008,2014,1,14
1374,R Pathan (CAN),0,1,1,36,50,2,25.0,8.33,18.0,0,0,2013,2013,2,50
1375,J Patraj (CAN),0,2,2,90,76,2,38.0,5.06,45.0,0,0,2007,2007,1,27
1376,HSM Pieris (SL),0,3,3,132,135,2,67.5,6.13,66.0,0,0,1975,1975,2,68
1377,NV Radford (ENG),0,6,6,348,230,2,115.0,3.96,174.0,0,0,1988,1988,1,32
1378,P Raho (PNG),0,1,1,45,32,2,16.0,4.26,22.5,0,0,2014,2014,2,32
1379,WV Raman (INDIA),8,27,7,162,170,2,85.0,6.29,81.0,0,0,1988,1996,1,23
1380,AN Ranasinghe (SL),7,9,8,324,281,2,140.5,5.2,162.0,0,0,1975,1982,1,21
1381,NLK Ratnayake (SL),1,2,2,101,98,2,49.0,5.82,50.5,0,0,1989,1990,1,39
1382,RA Reifer (WI),0,2,2,53,54,2,27.0,6.11,26.5,0,0,2019,2019,2,23
1383,GJ Rennie (ZIM),7,40,4,90,75,2,37.5,5.0,45.0,0,0,1996,2003,1,17
1384,CEB Rice (SA),0,3,3,138,114,2,57.0,4.95,69.0,0,0,1991,1991,1,46
1385,EJ Richardson (IRE),0,2,2,66,54,2,27.0,4.9,33.0,0,0,2013,2013,2,39
1386,Rizwan Latif (UAE),0,1,1,54,69,2,34.5,7.66,27.0,0,0,2004,2004,2,69
1387,Robiul Islam (BDESH),0,3,3,133,117,2,58.5,5.27,66.5,0,0,2013,2013,1,21
1388,LN Roche (ZIM),0,3,3,138,157,2,78.5,6.82,69.0,0,0,2018,2018,1,54
1389,Rokhan Barakzai (AFG),0,1,1,60,45,2,22.5,4.5,30.0,0,0,2015,2015,2,45
1390,Saadat Ali (PAK),0,8,2,27,29,2,14.5,6.44,13.5,0,0,1984,1984,2,24
1391,Sadiq Mohammad (PAK),7,19,2,38,26,2,13.0,4.1,19.0,0,0,1973,1980,2,20
1392,NA Saini (INDIA),0,1,1,60,58,2,29.0,5.8,30.0,0,0,2019,2019,2,58
1393,Sajjad Akbar (PAK),0,2,1,60,45,2,22.5,4.5,30.0,0,0,1990,1990,2,45
1394,RB Simpson (AUS),0,2,2,102,95,2,47.5,5.58,51.0,0,0,1978,1978,2,30
1395,CL Smith (ENG),0,4,2,36,28,2,14.0,4.66,18.0,0,0,1984,1984,2,8
1396,Sohail Butt (UAE),0,2,2,78,79,2,39.5,6.07,39.0,0,0,1994,1994,2,52
1397,RW Staple (USA),0,2,1,60,76,2,38.0,7.6,30.0,0,0,2004,2004,2,76
1398,PC Strydom (SA),0,10,7,252,206,2,103.0,4.9,126.0,0,0,2000,2000,1,18
1399,T Taibu (Afr/ZIM),11,150,2,84,61,2,30.5,4.35,42.0,0,0,2001,2012,2,42
1400,Tanvir Ahmed (PAK),0,2,2,60,83,2,41.5,8.3,30.0,0,0,2011,2011,1,38
1401,DC Thomas (WI),4,21,1,7,11,2,5.5,9.42,3.5,0,0,2009,2013,2,11
1402,PIC Thompson (WI),0,2,2,114,110,2,55.0,5.78,57.0,0,0,1997,1997,1,46
1403,GP Thorpe (ENG),9,82,5,120,97,2,48.5,4.85,60.0,0,0,1993,2002,2,15
1404,IJL Trott (ENG),4,68,10,183,166,2,83.0,5.44,91.5,0,0,2009,2013,2,31
1405,CM Tuckett (WI),0,1,1,48,41,2,20.5,5.12,24.0,0,0,1998,1998,2,41
1406,M van Jaarsveld (SA),2,11,2,31,18,2,9.0,3.48,15.5,0,0,2002,2004,1,0
1407,M Venkataramana (INDIA),0,1,1,60,36,2,18.0,3.6,30.0,0,0,1988,1988,2,36
1408,C Viljoen (NAM),0,2,2,30,14,2,7.0,2.8,15.0,0,0,2019,2019,2,6
1409,KP Walmsley (NZ),0,2,2,120,117,2,58.5,5.85,60.0,0,0,2003,2003,1,53
1410,GD Watson (AUS),0,2,1,48,28,2,14.0,3.5,24.0,0,0,1972,1972,2,28
1411,DS Wesonga (KENYA),1,4,1,42,28,2,14.0,4.0,21.0,0,0,2010,2011,2,28
1412,RK Whelan (IRE),0,2,2,90,99,2,49.5,6.6,45.0,0,0,2007,2007,1,43
1413,CM Willoughby (SA),3,3,3,168,148,2,74.0,5.28,84.0,0,0,2000,2003,2,39
1414,Yamin Ahmadzai (AFG),4,4,4,160,139,2,69.5,5.21,80.0,0,0,2015,2019,1,23
1415,Zafar Gohar (PAK),0,1,1,60,54,2,27.0,5.4,30.0,0,0,2015,2015,2,54
1416,Zahid Hussain (CAN),0,2,2,120,94,2,47.0,4.7,60.0,0,0,2011,2011,1,37
1417,MZ Zahir (CAN),0,1,1,30,35,2,17.5,7.0,15.0,0,0,2009,2009,2,35
1418,Zahir Khan (AFG),0,1,1,60,55,2,27.5,5.5,30.0,0,0,2019,2019,2,55
1419,Aamer Hameed (PAK),1,2,2,88,38,1,38.0,2.59,88.0,0,0,1977,1978,1,32
1420,SA Abbott (AUS),0,1,1,30,25,1,25.0,5.0,30.0,0,0,2014,2014,1,25
1421,Ahmed Kamal (BDESH),0,1,1,30,39,1,39.0,7.8,30.0,0,0,1999,1999,1,39
1422,DS Airee (NEPAL),1,6,3,78,51,1,51.0,3.92,78.0,0,0,2018,2019,1,19
1423,GW Aldridge (NZ),0,2,2,114,98,1,98.0,5.15,114.0,0,0,2011,2011,1,45
1424,Ali Khan (USA),0,1,1,30,23,1,23.0,4.6,30.0,0,0,2019,2019,1,23
1425,Aminul Islam jnr (BDESH),0,1,1,30,33,1,33.0,6.6,30.0,0,0,1999,1999,1,33
1426,Arshad Ali (UAE),4,4,3,102,105,1,105.0,6.17,102.0,0,0,2004,2008,1,5
1427,Arshad Laeeq (UAE),2,6,6,198,198,1,198.0,6.0,198.0,0,0,1994,1996,1,25
1428,B Arun (INDIA),1,4,4,102,103,1,103.0,6.05,102.0,0,0,1986,1987,1,43
1429,Asim Saeed (UAE),0,2,2,54,40,1,40.0,4.44,54.0,0,0,2004,2004,1,25
1430,KMC Bandara (SL),0,1,1,60,83,1,83.0,8.3,60.0,0,0,2016,2016,1,83
1431,Basil Hameed (UAE),0,3,1,12,10,1,10.0,5.0,12.0,0,0,2019,2019,1,10
1432,Basit Ali (PAK),3,50,2,30,21,1,21.0,4.2,30.0,0,0,1993,1996,1,17
1433,RR Beaton (WI),0,2,2,102,102,1,102.0,6.0,102.0,0,0,2017,2017,1,60
1434,JE Benjamin (ENG),1,2,2,72,47,1,47.0,3.91,72.0,0,0,1994,1995,1,22
1435,K Birkenstock (NAM),0,5,1,6,5,1,5.0,5.0,6.0,0,0,2019,2019,1,5
1436,BR Blair (NZ),4,14,2,30,34,1,34.0,6.8,30.0,0,0,1982,1986,1,7
1437,GK Bose (INDIA),0,1,1,66,39,1,39.0,3.54,66.0,0,0,1974,1974,1,39
1438,BP Bracewell (NZ),0,1,1,66,41,1,41.0,3.72,66.0,0,0,1978,1978,1,41
1439,KC Brathwaite (WI),1,10,5,152,140,1,140.0,5.52,152.0,0,0,2016,2017,1,56
1440,VR Brown (NZ),0,3,2,66,75,1,75.0,6.81,66.0,0,0,1988,1988,1,24
1441,DE Budge (SCOT),1,3,2,36,26,1,26.0,4.33,36.0,0,0,2018,2019,1,21
1442,MG Burgess (NZ),8,26,3,74,69,1,69.0,5.59,74.0,0,0,1973,1981,1,10
1443,RG Callender (CAN),0,2,2,54,26,1,26.0,2.88,54.0,0,0,1979,1979,1,14
1444,LOB Cann (BMUDA),3,26,4,100,129,1,129.0,7.74,100.0,0,0,2006,2009,1,34
1445,SJ Chalmers (SCOT),0,2,2,60,49,1,49.0,4.9,60.0,0,0,2009,2009,1,34
1446,S Chattergoon (WI),3,18,4,80,48,1,48.0,3.6,80.0,0,0,2006,2009,1,1
1447,MT Chinouya (ZIM),0,2,2,66,50,1,50.0,4.54,66.0,0,0,2013,2013,1,36
1448,KJ Coetzer (SCOT),11,59,7,179,203,1,203.0,6.8,179.0,0,0,2008,2019,1,35
1449,MJ Cosgrove (AUS),0,3,2,30,13,1,13.0,2.6,30.0,0,0,2006,2006,1,1
1450,CJ Dala (SA),0,2,2,102,121,1,121.0,7.11,102.0,0,0,2018,2018,1,57
1451,Dawlat Ahmadzai (AFG),1,3,3,112,121,1,121.0,6.48,112.0,0,0,2009,2010,1,40
1452,TN de Grooth (NL),7,34,1,6,2,1,2.0,2.0,6.0,0,0,2006,2013,1,2
1453,BFW de Leede (NL),1,3,2,23,15,1,15.0,3.91,23.0,0,0,2018,2019,1,3
1454,JL Denly (ENG),10,13,3,66,60,1,60.0,5.45,66.0,0,0,2009,2019,1,24
1455,R Dhawan (INDIA),0,3,3,150,160,1,160.0,6.4,150.0,0,0,2016,2016,1,74
1456,MS Dhoni (Asia/INDIA),15,350,2,36,31,1,31.0,5.16,36.0,0,0,2004,2019,1,14
1457,PS Eaglestone (IRE),0,1,1,42,60,1,60.0,8.57,42.0,0,0,2008,2008,1,60
1458,GN Edwards (NZ),5,6,1,6,5,1,5.0,5.0,6.0,0,0,1976,1981,1,5
1459,Faisal Hossain (BDESH),6,6,2,73,53,1,53.0,4.35,73.0,0,0,2004,2010,1,27
1460,Fakhar Zaman (PAK),2,46,7,135,111,1,111.0,4.93,135.0,0,0,2017,2019,1,19
1461,TL Fernando (SL),0,1,1,18,16,1,16.0,5.33,18.0,0,0,1989,1989,1,16
1462,SP Fleming (ICC/NZ),13,280,3,29,28,1,28.0,5.79,29.0,0,0,1994,2007,1,8
1463,MJ Fourie (IRE),1,7,5,179,128,1,128.0,4.29,179.0,0,0,2007,2008,1,33
1464,AN French (HKG),0,2,2,72,67,1,67.0,5.58,72.0,0,0,2004,2004,1,51
1465,AD Gaekwad (INDIA),12,15,1,48,39,1,39.0,4.87,48.0,0,0,1975,1987,1,39
1466,D Ganesh (INDIA),0,1,1,30,20,1,20.0,4.0,30.0,0,0,1997,1997,1,20
1467,TN Garwe (ZIM),0,1,1,36,50,1,50.0,8.33,36.0,0,0,2009,2009,1,50
1468,RS Gavaskar (INDIA),0,11,2,72,74,1,74.0,6.16,72.0,0,0,2004,2004,1,56
1469,SM Gavaskar (INDIA),13,108,4,20,25,1,25.0,7.5,20.0,0,0,1974,1987,1,10
1470,BD Glover (NL),0,1,1,60,37,1,37.0,3.7,60.0,0,0,2019,2019,1,37
1471,Y Goonasekera (SL),0,3,2,36,35,1,35.0,5.83,36.0,0,0,1983,1983,1,24
1472,EL Gouka (NL),0,3,2,22,51,1,51.0,13.9,22.0,0,0,1996,1996,1,32
1473,VD Grandia (NL),0,1,1,30,40,1,40.0,8.0,30.0,0,0,2002,2002,1,40
1474,CG Greenidge (WI),16,128,2,60,45,1,45.0,4.5,60.0,0,0,1975,1991,1,21
1475,RD Gudhka (KENYA),0,2,2,78,60,1,60.0,4.61,78.0,0,0,2011,2011,1,41
1476,Habibul Bashar (BDESH),12,111,6,175,142,1,142.0,4.86,175.0,0,0,1995,2007,1,31
